,balance_,duration_,history_,purpose_,amount_,savings_,employment_,available_income_,status_sex_,other_debtors_,residence_,assets_,age_,other_loans_,housing_,previous_loans_,job_,people_liable_,telephone_,foreign_worker_,classification_
21,no account,6,paid back all previous loans,furniture,2647,between 100 and 500 EUR,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 4 and 7 years,real estate,44,no additional loans,rent,1,skilled,3 and more,none,no,Approved
22,no account,10,paid back previous loans at this bank,other,2241,no savings account at this bank,less than 1 year,more than 35%,male married or widowed,none,between 4 and 7 years,real estate,48,no additional loans,rent,2 or 3,unskilled (permanent resident),3 and more,none,yes,Approved
23,no balance,12,paid back previous loans at this bank,new car,1804,below 100 EUR,less than 1 year,between 20 and 25%,male married or widowed,none,more than 7 years,life insurance,44,no additional loans,own,1,skilled,0 to 2,none,no,Approved
24,above 200 EUR,10,paid back previous loans at this bank,used car,2069,above 1000 EUR,between 1 and 4 years,between 25 and 35%,female,none,less than 1 year,car,26,no additional loans,own,2 or 3,skilled,0 to 2,none,yes,Approved
25,no account,6,paid back all previous loans,used car,1374,no savings account at this bank,between 1 and 4 years,more than 35%,male married or widowed,none,between 1 and 4 years,real estate,36,at other banks,own,1,unskilled (permanent resident),0 to 2,yes,no,Approved
26,above 200 EUR,6,delay payment of previous loans,furniture,426,no savings account at this bank,more than 7 years,less than 20%,female,none,more than 7 years,car,39,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
27,below 200 EUR,12,other loans exist at other banks,furniture,409,between 500 and 1000 EUR,between 1 and 4 years,between 20 and 25%,male single,none,between 4 and 7 years,real estate,42,no additional loans,rent,2 or 3,skilled,0 to 2,none,no,Approved
28,no balance,7,paid back all previous loans,furniture,2415,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male married or widowed,guarantor,between 1 and 4 years,real estate,34,no additional loans,own,1,skilled,0 to 2,none,no,Approved
29,no account,60,no problems with current loans,retraining,6836,no savings account at this bank,more than 7 years,between 20 and 25%,male married or widowed,none,more than 7 years,none,63,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Rejected
30,no balance,18,paid back all previous loans,retraining,1913,between 500 and 1000 EUR,less than 1 year,between 20 and 25%,female,none,between 4 and 7 years,real estate,36,at other banks,own,1,skilled,0 to 2,yes,no,Approved
31,no account,24,paid back all previous loans,used car,4020,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,car,27,at department store,own,1,skilled,0 to 2,none,no,Approved
32,no balance,18,paid back all previous loans,other,5866,below 100 EUR,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,car,30,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
33,above 200 EUR,12,paid back previous loans at this bank,retraining,1264,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,none,57,no additional loans,rent,1,unskilled (permanent resident),0 to 2,none,no,Approved
34,below 200 EUR,12,paid back all previous loans,used car,1474,no savings account at this bank,less than 1 year,less than 20%,male single,none,less than 1 year,life insurance,33,at other banks,own,1,executive or self-employed,0 to 2,yes,no,Approved
35,no balance,45,paid back previous loans at this bank,furniture,4746,no savings account at this bank,less than 1 year,less than 20%,male married or widowed,none,between 1 and 4 years,life insurance,25,no additional loans,own,2 or 3,unskilled (permanent resident),0 to 2,none,no,Rejected
36,above 200 EUR,48,paid back previous loans at this bank,repair,6110,no savings account at this bank,between 1 and 4 years,more than 35%,male married or widowed,none,between 4 and 7 years,none,31,at other banks,for free,1,skilled,0 to 2,yes,no,Approved
37,below 200 EUR,18,paid back all previous loans,furniture,2100,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,co-applicant,between 1 and 4 years,real estate,37,at department store,own,1,skilled,0 to 2,none,no,Rejected
38,below 200 EUR,10,paid back all previous loans,television,1225,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,car,37,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
39,no balance,9,paid back all previous loans,furniture,458,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,between 4 and 7 years,real estate,24,no additional loans,own,1,skilled,0 to 2,none,no,Approved
40,above 200 EUR,30,paid back all previous loans,furniture,2333,between 100 and 500 EUR,more than 7 years,less than 20%,male married or widowed,none,between 1 and 4 years,car,30,at other banks,own,1,executive or self-employed,0 to 2,none,no,Approved
41,no balance,12,paid back all previous loans,furniture,1158,between 100 and 500 EUR,between 1 and 4 years,between 20 and 25%,male divorced,none,less than 1 year,car,26,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
42,no balance,18,no problems with current loans,domestic appliances,6204,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male married or widowed,none,more than 7 years,real estate,44,no additional loans,own,1,unskilled (permanent resident),3 and more,yes,no,Approved
43,no account,30,paid back previous loans at this bank,new car,6187,below 100 EUR,between 4  and 7 years,more than 35%,female,none,more than 7 years,car,24,no additional loans,rent,2 or 3,skilled,0 to 2,none,no,Approved
44,no account,48,paid back previous loans at this bank,new car,6143,no savings account at this bank,more than 7 years,less than 20%,male single,none,more than 7 years,none,58,at department store,for free,2 or 3,unskilled (permanent resident),0 to 2,none,no,Rejected
45,above 200 EUR,11,paid back previous loans at this bank,other,1393,no savings account at this bank,less than 1 year,less than 20%,male single,none,more than 7 years,car,35,no additional loans,own,2 or 3,executive or self-employed,0 to 2,none,no,Approved
46,above 200 EUR,36,paid back all previous loans,furniture,2299,between 100 and 500 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,car,39,no additional loans,own,1,skilled,0 to 2,none,no,Approved
47,no account,6,paid back all previous loans,new car,1352,between 100 and 500 EUR,unemployed,more than 35%,male single,none,between 1 and 4 years,life insurance,23,no additional loans,rent,1,unskilled (non-resident),0 to 2,yes,no,Approved
48,above 200 EUR,11,paid back previous loans at this bank,other,7228,no savings account at this bank,between 1 and 4 years,more than 35%,male married or widowed,none,more than 7 years,life insurance,39,no additional loans,own,2 or 3,unskilled (permanent resident),0 to 2,none,no,Approved
49,above 200 EUR,12,paid back all previous loans,furniture,2073,below 100 EUR,between 1 and 4 years,less than 20%,male single,co-applicant,between 1 and 4 years,real estate,28,no additional loans,own,1,skilled,0 to 2,none,no,Approved
50,no balance,24,no problems with current loans,used car,2333,above 1000 EUR,less than 1 year,less than 20%,male married or widowed,none,between 1 and 4 years,life insurance,29,at other banks,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
51,no balance,27,no problems with current loans,new car,5965,no savings account at this bank,more than 7 years,more than 35%,male married or widowed,none,between 1 and 4 years,car,30,no additional loans,own,2 or 3,executive or self-employed,0 to 2,yes,no,Approved
52,above 200 EUR,12,paid back all previous loans,furniture,1262,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male married or widowed,none,between 1 and 4 years,car,25,no additional loans,own,1,skilled,0 to 2,none,no,Approved
53,above 200 EUR,18,paid back all previous loans,new car,3378,above 1000 EUR,between 1 and 4 years,between 25 and 35%,male married or widowed,none,less than 1 year,life insurance,31,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
54,no balance,36,no problems with current loans,other,2225,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,none,57,at other banks,for free,2 or 3,skilled,0 to 2,yes,no,Rejected
55,above 200 EUR,6,other loans exist at other banks,other,783,above 1000 EUR,between 1 and 4 years,more than 35%,male married or widowed,guarantor,between 1 and 4 years,real estate,26,at department store,own,1,unskilled (permanent resident),3 and more,none,no,Approved
56,no balance,12,paid back all previous loans,furniture,6468,above 1000 EUR,unemployed,between 25 and 35%,male married or widowed,none,less than 1 year,none,52,no additional loans,own,1,executive or self-employed,0 to 2,yes,no,Rejected
57,above 200 EUR,36,paid back previous loans at this bank,furniture,9566,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male single,none,between 1 and 4 years,car,31,at department store,own,2 or 3,skilled,0 to 2,none,no,Approved
58,below 200 EUR,18,paid back all previous loans,other,1961,no savings account at this bank,more than 7 years,between 20 and 25%,male single,none,between 1 and 4 years,car,23,no additional loans,own,1,executive or self-employed,0 to 2,none,no,Approved
59,no account,36,paid back previous loans at this bank,used car,6229,no savings account at this bank,less than 1 year,less than 20%,male single,co-applicant,more than 7 years,none,23,no additional loans,rent,2 or 3,unskilled (permanent resident),0 to 2,yes,no,Rejected
60,no balance,9,paid back all previous loans,retraining,1391,no savings account at this bank,between 1 and 4 years,between 25 and 35%,female,none,less than 1 year,real estate,27,at other banks,own,1,skilled,0 to 2,yes,no,Approved
61,no balance,15,paid back previous loans at this bank,furniture,1537,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,guarantor,more than 7 years,real estate,50,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Approved
62,no balance,36,delay payment of previous loans,retraining,1953,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,none,61,no additional loans,for free,1,executive or self-employed,0 to 2,yes,no,Rejected
63,no balance,48,delay payment of previous loans,retraining,14421,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,car,25,no additional loans,own,1,skilled,0 to 2,yes,no,Rejected
64,above 200 EUR,24,paid back all previous loans,furniture,3181,no savings account at this bank,less than 1 year,less than 20%,male single,none,more than 7 years,life insurance,26,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
65,above 200 EUR,27,paid back all previous loans,domestic appliances,5190,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,life insurance,48,no additional loans,own,6 or more,skilled,3 and more,yes,no,Approved
66,above 200 EUR,12,paid back all previous loans,furniture,2171,no savings account at this bank,less than 1 year,between 25 and 35%,male single,none,between 1 and 4 years,car,29,at other banks,own,1,skilled,0 to 2,none,no,Approved
67,no balance,12,paid back all previous loans,other,1007,between 500 and 1000 EUR,between 1 and 4 years,less than 20%,female,none,less than 1 year,real estate,22,no additional loans,own,1,skilled,0 to 2,none,no,Approved
68,above 200 EUR,36,paid back all previous loans,repair,1819,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,more than 7 years,none,37,at department store,for free,1,skilled,0 to 2,yes,no,Rejected
69,above 200 EUR,36,paid back all previous loans,furniture,2394,above 1000 EUR,between 1 and 4 years,less than 20%,male single,none,more than 7 years,car,25,no additional loans,own,1,skilled,0 to 2,none,no,Approved
70,above 200 EUR,36,paid back all previous loans,new car,8133,no savings account at this bank,between 1 and 4 years,more than 35%,male single,none,between 1 and 4 years,life insurance,30,at other banks,own,1,skilled,0 to 2,none,no,Approved
71,above 200 EUR,7,paid back previous loans at this bank,furniture,730,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,between 1 and 4 years,life insurance,46,no additional loans,rent,2 or 3,unskilled (permanent resident),0 to 2,yes,no,Approved
72,no account,8,paid back previous loans at this bank,business,1164,no savings account at this bank,more than 7 years,between 20 and 25%,male married or widowed,none,more than 7 years,none,51,at other banks,for free,2 or 3,executive or self-employed,3 and more,yes,no,Approved
73,no balance,42,paid back previous loans at this bank,retraining,5954,no savings account at this bank,between 4  and 7 years,between 25 and 35%,male single,none,less than 1 year,real estate,41,at other banks,own,2 or 3,unskilled (permanent resident),0 to 2,none,no,Approved
74,no account,36,paid back all previous loans,repair,1977,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,none,40,no additional loans,own,1,executive or self-employed,0 to 2,yes,no,Rejected
75,no account,12,paid back previous loans at this bank,new car,1526,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,none,66,no additional loans,for free,2 or 3,executive or self-employed,0 to 2,none,no,Approved
76,no account,42,paid back all previous loans,furniture,3965,no savings account at this bank,less than 1 year,less than 20%,male married or widowed,none,between 4 and 7 years,car,34,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
77,no balance,11,no problems with current loans,furniture,4771,no savings account at this bank,between 4  and 7 years,between 25 and 35%,male married or widowed,none,more than 7 years,life insurance,51,no additional loans,own,1,skilled,0 to 2,none,no,Approved
78,above 200 EUR,54,delay payment of previous loans,new car,9436,above 1000 EUR,between 1 and 4 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,life insurance,39,no additional loans,own,1,unskilled (permanent resident),3 and more,none,no,Approved
79,no balance,30,paid back all previous loans,used car,3832,no savings account at this bank,less than 1 year,between 25 and 35%,female,none,less than 1 year,life insurance,22,no additional loans,own,1,skilled,0 to 2,none,no,Approved
80,above 200 EUR,24,paid back all previous loans,furniture,5943,above 1000 EUR,less than 1 year,more than 35%,male single,none,less than 1 year,car,44,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Rejected
81,above 200 EUR,15,paid back all previous loans,furniture,1213,between 100 and 500 EUR,more than 7 years,less than 20%,male married or widowed,none,between 4 and 7 years,life insurance,47,at department store,own,1,skilled,0 to 2,yes,no,Approved
82,above 200 EUR,18,paid back all previous loans,retraining,1568,below 100 EUR,between 1 and 4 years,between 20 and 25%,male single,none,more than 7 years,life insurance,24,no additional loans,rent,1,unskilled (permanent resident),0 to 2,none,no,Approved
83,no account,24,paid back all previous loans,business,1755,no savings account at this bank,more than 7 years,less than 20%,male single,guarantor,more than 7 years,real estate,58,no additional loans,own,1,unskilled (permanent resident),0 to 2,yes,no,Approved
84,no account,10,paid back all previous loans,furniture,2315,no savings account at this bank,more than 7 years,between 20 and 25%,male married or widowed,none,more than 7 years,real estate,52,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
85,above 200 EUR,12,paid back previous loans at this bank,retraining,1412,no savings account at this bank,between 1 and 4 years,less than 20%,male single,guarantor,between 1 and 4 years,real estate,29,no additional loans,own,2 or 3,executive or self-employed,0 to 2,yes,no,Approved
86,no balance,18,paid back previous loans at this bank,used car,1295,no savings account at this bank,less than 1 year,less than 20%,male single,none,less than 1 year,life insurance,27,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
87,no balance,36,paid back all previous loans,repair,12612,below 100 EUR,between 1 and 4 years,more than 35%,male married or widowed,none,more than 7 years,none,47,no additional loans,for free,1,skilled,3 and more,yes,no,Rejected
88,no account,18,paid back all previous loans,other,2249,below 100 EUR,between 4  and 7 years,less than 20%,male married or widowed,none,between 4 and 7 years,car,30,no additional loans,own,1,executive or self-employed,3 and more,yes,no,Approved
89,no account,12,delay payment of previous loans,domestic appliances,1108,no savings account at this bank,between 4  and 7 years,less than 20%,male married or widowed,none,between 4 and 7 years,real estate,28,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Rejected
90,above 200 EUR,12,paid back previous loans at this bank,furniture,618,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,real estate,56,no additional loans,own,1,skilled,0 to 2,none,no,Approved
91,no account,12,paid back previous loans at this bank,new car,1409,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,between 4 and 7 years,real estate,54,no additional loans,own,1,skilled,0 to 2,none,no,Approved
92,above 200 EUR,12,paid back previous loans at this bank,furniture,797,above 1000 EUR,more than 7 years,less than 20%,male single,none,between 4 and 7 years,life insurance,33,at other banks,own,1,unskilled (permanent resident),3 and more,none,no,Rejected
93,below 200 EUR,24,paid back previous loans at this bank,used car,3617,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,co-applicant,more than 7 years,none,20,no additional loans,rent,2 or 3,skilled,0 to 2,none,no,Approved
94,no balance,12,paid back all previous loans,other,1318,between 500 and 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,real estate,54,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
95,no balance,54,delay payment of previous loans,retraining,15945,no savings account at this bank,less than 1 year,between 20 and 25%,male married or widowed,none,more than 7 years,none,58,no additional loans,rent,1,skilled,0 to 2,yes,no,Rejected
96,above 200 EUR,12,paid back previous loans at this bank,repair,2012,above 1000 EUR,between 4  and 7 years,less than 20%,male single,none,between 1 and 4 years,car,61,no additional loans,own,1,skilled,0 to 2,none,no,Approved
97,no balance,18,paid back all previous loans,retraining,2622,below 100 EUR,between 1 and 4 years,less than 20%,male married or widowed,none,more than 7 years,car,34,no additional loans,own,1,skilled,0 to 2,none,no,Approved
98,no balance,36,paid back previous loans at this bank,furniture,2337,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,real estate,36,no additional loans,own,1,skilled,0 to 2,none,no,Approved
99,no balance,20,no problems with current loans,new car,7057,above 1000 EUR,between 4  and 7 years,between 20 and 25%,male married or widowed,none,more than 7 years,life insurance,36,at other banks,rent,2 or 3,executive or self-employed,3 and more,yes,no,Approved
100,above 200 EUR,24,paid back all previous loans,other,1469,below 100 EUR,more than 7 years,less than 20%,female,none,more than 7 years,real estate,41,no additional loans,rent,1,unskilled (permanent resident),0 to 2,none,no,Approved
101,no balance,36,paid back all previous loans,furniture,2323,no savings account at this bank,between 4  and 7 years,less than 20%,male married or widowed,none,more than 7 years,car,24,no additional loans,rent,1,skilled,0 to 2,none,no,Approved
102,above 200 EUR,6,no problems with current loans,furniture,932,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male single,none,between 1 and 4 years,real estate,24,no additional loans,own,1,skilled,0 to 2,none,no,Approved
103,no balance,9,paid back previous loans at this bank,used car,1919,no savings account at this bank,between 4  and 7 years,less than 20%,male married or widowed,none,between 4 and 7 years,car,35,no additional loans,rent,1,skilled,0 to 2,yes,no,Approved
104,above 200 EUR,12,paid back all previous loans,new car,2445,above 1000 EUR,less than 1 year,between 25 and 35%,female,none,more than 7 years,car,26,no additional loans,rent,1,skilled,0 to 2,yes,no,Approved
105,no balance,24,paid back previous loans at this bank,business,11938,no savings account at this bank,between 1 and 4 years,between 25 and 35%,male married or widowed,co-applicant,between 4 and 7 years,car,39,no additional loans,own,2 or 3,executive or self-employed,3 and more,yes,no,Rejected
106,above 200 EUR,18,other loans exist at other banks,other,6458,no savings account at this bank,more than 7 years,between 25 and 35%,male married or widowed,none,more than 7 years,none,39,at other banks,own,2 or 3,executive or self-employed,3 and more,yes,no,Rejected
107,no balance,12,paid back all previous loans,other,6078,no savings account at this bank,between 4  and 7 years,between 25 and 35%,male married or widowed,none,between 1 and 4 years,car,32,no additional loans,own,1,skilled,0 to 2,none,no,Approved
108,no account,24,paid back all previous loans,used car,7721,above 1000 EUR,less than 1 year,more than 35%,male single,none,between 1 and 4 years,life insurance,30,no additional loans,own,1,skilled,0 to 2,yes,yes,Approved
109,no balance,14,paid back all previous loans,retraining,1410,between 100 and 500 EUR,more than 7 years,more than 35%,female,none,between 1 and 4 years,real estate,35,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
110,no balance,6,no problems with current loans,retraining,1449,below 100 EUR,more than 7 years,more than 35%,male divorced,none,between 1 and 4 years,car,31,at other banks,own,2 or 3,skilled,3 and more,none,no,Approved
111,below 200 EUR,15,paid back all previous loans,repair,392,no savings account at this bank,less than 1 year,less than 20%,male single,none,more than 7 years,life insurance,23,no additional loans,rent,1,skilled,0 to 2,yes,no,Approved
112,no balance,18,paid back all previous loans,other,6260,no savings account at this bank,between 4  and 7 years,between 20 and 25%,male married or widowed,none,between 4 and 7 years,real estate,28,no additional loans,rent,1,unskilled (permanent resident),0 to 2,none,no,Approved
113,above 200 EUR,36,paid back previous loans at this bank,other,7855,no savings account at this bank,between 1 and 4 years,less than 20%,male single,none,between 1 and 4 years,real estate,25,at department store,own,2 or 3,skilled,0 to 2,yes,no,Rejected
114,no account,12,paid back all previous loans,furniture,1680,between 100 and 500 EUR,more than 7 years,between 20 and 25%,female,none,less than 1 year,real estate,35,no additional loans,own,1,skilled,0 to 2,none,no,Approved
115,above 200 EUR,48,paid back previous loans at this bank,furniture,3578,above 1000 EUR,more than 7 years,less than 20%,male married or widowed,none,less than 1 year,real estate,47,no additional loans,own,1,skilled,0 to 2,yes,no,Approved
116,no account,42,paid back all previous loans,furniture,7174,above 1000 EUR,between 4  and 7 years,less than 20%,male single,none,between 4 and 7 years,car,30,no additional loans,own,1,executive or self-employed,0 to 2,yes,no,Rejected
117,no account,10,paid back previous loans at this bank,used car,2132,above 1000 EUR,less than 1 year,between 25 and 35%,male single,co-applicant,between 4 and 7 years,real estate,27,no additional loans,rent,2 or 3,skilled,0 to 2,none,yes,Approved
118,no account,33,paid back previous loans at this bank,used car,4281,between 100 and 500 EUR,between 1 and 4 years,more than 35%,male single,none,more than 7 years,car,23,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Rejected
119,no balance,12,paid back previous loans at this bank,other,2366,between 100 and 500 EUR,between 4  and 7 years,between 20 and 25%,male divorced,none,between 4 and 7 years,car,36,no additional loans,own,1,executive or self-employed,0 to 2,yes,no,Approved
120,no account,21,paid back all previous loans,furniture,1835,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male single,none,between 1 and 4 years,real estate,25,no additional loans,own,2 or 3,skilled,0 to 2,yes,no,Rejected
121,above 200 EUR,24,paid back previous loans at this bank,new car,3868,no savings account at this bank,more than 7 years,less than 20%,male single,none,between 1 and 4 years,car,41,no additional loans,rent,2 or 3,executive or self-employed,0 to 2,yes,no,Approved
122,above 200 EUR,12,paid back all previous loans,used car,1768,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male married or widowed,none,between 1 and 4 years,real estate,24,no additional loans,rent,1,unskilled (permanent resident),0 to 2,none,no,Approved
123,below 200 EUR,10,paid back previous loans at this bank,other,781,no savings account at this bank,more than 7 years,less than 20%,male married or widowed,none,more than 7 years,none,63,no additional loans,for free,2 or 3,skilled,0 to 2,yes,no,Approved
124,no balance,18,paid back all previous loans,used car,1924,above 1000 EUR,less than 1 year,less than 20%,male single,none,between 4 and 7 years,real estate,27,no additional loans,rent,1,skilled,0 to 2,none,no,Rejected
125,no account,12,paid back previous loans at this bank,other,2121,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,between 1 and 4 years,life insurance,30,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Approved
126,no account,12,paid back all previous loans,furniture,701,no savings account at this bank,between 1 and 4 years,less than 20%,female,none,between 1 and 4 years,real estate,40,no additional loans,own,1,unskilled (permanent resident),0 to 2,none,no,Approved
127,no balance,12,paid back all previous loans,domestic appliances,639,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,between 1 and 4 years,car,30,no additional loans,own,1,skilled,0 to 2,none,no,Rejected
128,no balance,12,paid back previous loans at this bank,new car,1860,no savings account at this bank,unemployed,less than 20%,male married or widowed,none,between 1 and 4 years,car,34,no additional loans,own,2 or 3,executive or self-employed,0 to 2,yes,no,Approved
129,no account,12,paid back previous loans at this bank,other,3499,no savings account at this bank,between 1 and 4 years,between 20 and 25%,male single,co-applicant,between 1 and 4 years,real estate,29,no additional loans,own,2 or 3,skilled,0 to 2,none,no,Rejected
130,no balance,48,paid back all previous loans,other,8487,above 1000 EUR,between 4  and 7 years,more than 35%,male single,none,between 1 and 4 years,car,24,no additional loans,own,1,skilled,0 to 2,none,no,Approved
131,no account,36,no problems with current loans,repair,6887,no savings account at this bank,between 1 and 4 years,less than 20%,male married or widowed,none,between 4 and 7 years,life insurance,29,at department store,own,1,skilled,0 to 2,yes,no,Rejected
